code,nom
46005,Abercorn
48028,Acton Vale
31056,Adstock
98030,Aguanish
92030,Albanel
84050,Alleyn-et-Cawood
93042,Alma
78070,Amherst
88057,Amos
55008,Ange-Gardien
19037,Armagh
78060,Arundel
41055,Ascot Corner
50013,Aston-Jonction
13045,Auclair
30055,Audet
83090,Aumond
45085,Austin
87050,Authier
87100,Authier-Nord
45035,Ayer's Cliff
96020,Baie-Comeau
66112,Baie-D'Urfé
98035,Baie-Johan-Beetz
16013,Baie-Saint-Paul
15065,Baie-Sainte-Catherine
96005,Baie-Trinité
50100,Baie-du-Febvre
78050,Barkmere
44045,Barnston-Ouest
88022,Barraute
37210,Batiscan
66107,Beaconsfield
27028,Beauceville
70022,Beauharnois
31008,Beaulac-Garthby
19105,Beaumont
21025,Beaupré
46035,Bedford
46040,Bedford
89050,Belcourt
85065,Belleterre
57040,Beloeil
88070,Berry
18065,Berthier-sur-Mer
52035,Berthierville
13055,Biencourt
73015,Blainville
98005,Blanc-Sablon
83045,Blue Sea
80115,Boileau
83085,Bois-Franc
73030,Bois-des-Filion
73005,Boisbriand
21045,Boischatel
45095,Bolton-Est
46065,Bolton-Ouest
98010,Bonne-Espérance
42040,Bonsecours
58033,Boucherville
83050,Bouchette
80145,Bowman
46090,Brigham
84005,Bristol
46070,Brome
46078,Bromont
58007,Brossard
76043,Brownsburg-Chatham
84025,Bryson
78075,Brébeuf
41070,Bury
85020,Béarn
38010,Bécancour
94250,Bégin
48005,Béthanie
12057,Cacouna
59030,Calixa-Lavallée
84030,Campbell's Bay
67020,Candiac
82020,Cantley
18045,Cap-Saint-Ignace
34030,Cap-Santé
57010,Carignan
83040,Cayamant
57005,Chambly
91020,Chambord
37220,Champlain
88005,Champneuf
99020,Chapais
51080,Charette
60005,Charlemagne
41020,Chartierville
87095,Chazel
82025,Chelsea
62047,Chertsey
39030,Chesterville
99025,Chibougamau
84090,Chichester
79065,Chute-Saint-Philippe
96035,Chute-aux-Outardes
21035,Château-Richer
67050,Châteauguay
80103,Chénéville
56010,Clarenceville
84015,Clarendon
15035,Clermont
87110,Clermont
87075,Clerval
42110,Cleveland
44037,Coaticook
95050,Colombier
44071,Compton
59035,Contrecoeur
41038,Cookshire-Eaton
71040,Coteau-du-Lac
29027,Courcelles--Saint-Évariste
46080,Cowansville
61013,Crabtree
98015,Côte-Nord-du-Golfe-du-Saint-Laurent
66058,Côte-Saint-Luc
40047,Danville
39152,Daveluyville
67025,Delson
83005,Denholm
93005,Desbiens
38070,Deschaillons-sur-Saint-Laurent
34058,Deschambault-Grondines
72010,Deux-Montagnes
31015,Disraeli
31020,Disraeli
44023,Dixville
92022,Dolbeau-Mistassini
66142,Dollard-des-Ormeaux
34025,Donnacona
66087,Dorval
33040,Dosquet
49058,Drummondville
41117,Dudswell
80135,Duhamel
85030,Duhamel-Ouest
69075,Dundee
46050,Dunham
87005,Duparquet
87085,Dupuy
49015,Durham-Sud
13005,Dégelis
83070,Déléage
41060,East Angus
31122,East Broughton
46085,East Farnham
44010,East Hereford
45093,Eastman
99060,Eeyou Istchee Baie-James
83075,Egan-Sud
69050,Elgin
62053,Entrelacs
10005,Esprit-Saint
77011,Estérel
46112,Farnham
80005,Fassett
94220,Ferland-et-Boilleau
79097,Ferme-Neuve
97035,Fermont
95045,Forestville
84060,Fort-Coulonge
38047,Fortierville
22010,Fossambault-sur-le-Lac
26005,Frampton
69010,Franklin
96015,Franquelin
46010,Frelighsburg
30025,Frontenac
85055,Fugèreville
87020,Gallichan
81017,Gatineau
92055,Girardville
96010,Godbout
69060,Godmanchester
76025,Gore
83032,Gracefield
47017,Granby
83095,Grand-Remous
50065,Grand-Saint-Esprit
35040,Grandes-Piles
76055,Grenville
76052,Grenville-sur-la-Rouge
98014,Gros-Mécatina
85095,Guérin
39010,Ham-Nord
40005,Ham-Sud
41075,Hampden
66062,Hampstead
76065,Harrington
45043,Hatley
45055,Hatley
69005,Havelock
98040,Havre-Saint-Pierre
68010,Hemmingford
68015,Hemmingford
56042,Henryville
69045,Hinchinbrooke
19070,Honfleur
69025,Howick
78065,Huberdeau
71100,Hudson
69055,Huntingdon
93020,Hébertville
93025,Hébertville-Station
35035,Hérouxville
32058,Inverness
